id,best,cand1,cand2,cand3,cand4
10199,4,4,4,4,4
10539,5,5,5,5,5
10174,4,4,4,6,4
10465,5,5,5,5,5
10066,4,4,3,4,4
10425,5,5,3,3,4
10398,5,5,5,5,5
10346,5,5,5,5,5
10281,4,4,4,4,4
10158,4,4,4,4,4
10877,4,4,4,4,4
10067,5,5,5,5,5
10235,4,4,4,4,4
10767,5,5,5,5,5
10483,4,4,4,4,4
10679,5,5,5,5,5
10076,5,5,5,5,5
10800,3,3,3,3,3
10855,5,5,5,5,5
10706,5,5,5,5,5
10088,5,5,5,5,5
10096,5,5,5,5,5
10643,4,4,4,4,4
10305,4,4,4,4,4
10275,4,4,4,4,4
10759,5,5,5,5,5
10355,5,5,5,5,6
10844,4,4,4,4,4
10693,3,3,3,5,5
10882,5,5,3,5,5
10023,4,4,4,4,4
10030,5,5,5,5,5
10677,3,3,3,3,3
10923,4,4,4,4,4
10405,5,5,5,5,5
10531,4,4,4,4,4
10959,3,3,3,5,3
10294,4,4,4,4,4
10829,5,5,5,5,5
10850,5,5,5,5,5
10259,5,5,5,5,5
10874,4,4,4,4,4
10328,4,4,4,4,4
10333,4,4,6,6,6
10634,6,6,5,5,5
10774,4,4,4,4,4
10754,5,5,5,5,5
10120,4,4,4,3,3
10790,4,4,4,4,4
10323,5,5,5,5,5
10728,4,4,4,4,4
10842,5,5,5,5,5
10039,3,3,3,3,3
10789,4,4,4,4,4
10952,4,4,4,4,4
10310,4,4,4,4,4
10314,4,4,4,4,4
10059,4,4,4,4,4
10972,3,3,5,3,5
10494,4,4,4,4,4
10464,5,5,5,5,5
10722,5,5,5,5,5
10673,5,5,5,5,5
10692,4,4,4,4,4
10479,3,3,3,5,4
10680,5,5,5,5,5
10793,4,4,4,3,3
10070,5,5,5,5,5
10136,4,4,4,4,4
10307,5,5,5,5,5
10849,3,3,3,3,3
10714,5,5,5,5,5
10633,4,4,4,4,4
10580,4,4,4,4,4
10481,5,5,5,5,5
10063,5,5,5,5,5
10822,3,3,3,3,3
10359,5,5,5,5,5
10585,5,5,5,5,5
10801,5,5,6,5,5
10299,5,5,5,5,5
10350,4,4,4,4,4
10362,5,5,5,5,5
10237,3,3,3,4,3
10351,3,3,3,3,3
10695,3,3,4,3,3
10672,4,4,4,4,4
10298,4,4,4,4,4
10086,5,5,5,5,5
10913,3,3,3,3,3
10432,5,5,5,5,5
10290,4,4,4,4,4
10107,5,5,5,5,5
10969,3,3,3,3,3
10254,5,5,5,5,5
10215,4,4,3,4,4
10544,4,4,4,4,4
10319,3,3,3,3,3
10525,5,5,5,5,5
10630,5,5,5,5,5
10953,5,5,5,5,5
10749,4,4,4,4,4
10534,5,5,5,5,5
10827,4,4,4,4,4
10798,4,4,4,4,4
10514,4,4,4,4,4
10055,5,5,5,5,5
10497,5,5,5,4,4
10218,5,5,5,5,5
10486,5,5,4,4,4
10072,5,5,5,5,5
10527,5,5,5,5,5
10044,5,5,5,5,5
10261,5,5,5,5,5
10209,4,4,4,4,4
10678,5,5,5,5,5
10493,4,4,4,4,4
10442,5,5,5,5,5
10277,4,4,4,4,4
10423,5,5,5,5,5
10231,5,5,5,5,5
10718,5,5,5,5,5
10947,5,5,5,5,5
10757,4,4,4,4,4
10660,4,4,4,4,4
10655,5,5,5,5,5
10309,5,5,5,5,5
10453,5,5,3,5,5
10703,4,4,4,4,4
10636,4,4,4,4,4
10916,5,5,5,5,5
10213,4,4,4,4,4
10482,1,1,6,4,4
10060,4,4,4,4,4
10687,4,4,4,6,4
10713,3,3,3,3,3
10429,5,5,5,5,5
10139,4,4,4,4,4
10781,4,4,4,4,4
10605,3,3,5,3,5
10280,4,4,4,4,4
10311,4,4,4,4,4
10615,4,4,4,4,4
10450,4,4,4,4,4
10110,5,5,5,5,5
10622,3,3,3,4,3
10456,4,4,4,4,3
10316,5,5,5,5,5
10891,5,5,5,5,5
10868,4,4,4,4,4
10198,5,5,5,5,5
10377,3,3,5,3,3
10638,4,4,4,4,4
10617,4,4,4,4,4
10559,3,3,3,3,4
10669,5,5,5,5,5
10137,4,4,4,4,4
10332,5,5,3,3,3
10394,5,5,5,5,5
10184,5,5,5,5,5
10881,3,3,3,3,3
10449,5,5,5,5,5
10788,3,3,3,3,3
10168,5,5,5,5,5
10951,3,3,3,3,3
10382,4,4,4,4,4
10696,5,5,5,5,5
10078,5,5,5,5,5
10029,3,3,3,3,3
10260,5,5,5,5,5
10331,5,5,5,5,5
10859,5,5,5,5,5
10626,4,4,4,4,4
10165,5,5,3,5,5
10731,3,3,3,3,4
10898,5,5,5,5,5
10065,5,5,5,5,5
10141,4,4,4,4,4
10210,5,5,5,5,5
10746,4,4,3,4,4
10292,4,4,4,4,4
10847,4,4,4,4,4
10266,5,5,5,5,5
10371,5,5,5,5,5
10810,5,5,5,5,5
10581,5,5,5,5,5
10900,5,5,5,5,5
10049,3,3,3,4,4
10708,5,5,5,5,5
10904,4,4,4,4,4
10490,3,3,3,3,3
10327,5,5,5,5,5
10879,5,5,5,5,5
10521,4,4,4,4,4
10925,3,3,3,3,3
10968,4,4,4,4,4
10365,4,4,4,4,4
10936,5,5,5,5,5
10033,4,4,4,4,4
10031,4,4,4,4,4
10823,3,3,3,3,3
10192,5,5,5,5,5
10312,5,5,5,5,5
10807,3,3,3,3,4
10552,5,5,5,5,5
10558,5,5,5,5,5
10921,4,4,4,4,4
10109,4,4,4,4,4
10440,4,4,4,4,4
10077,5,5,5,5,5
10783,3,3,3,3,3
10542,4,4,4,4,4
10082,5,5,5,5,5
10361,4,4,4,4,4
10485,4,4,4,4,4
10507,5,5,5,5,5
10628,4,4,5,5,5
10500,5,5,6,5,5
10905,4,4,4,4,4
10002,5,5,5,5,5
10101,5,5,5,5,5
10363,5,5,5,5,5
10451,3,3,3,3,3
10286,3,3,3,3,4
10208,3,3,3,3,3
10265,5,5,5,5,5
10005,5,5,5,5,5
10054,5,5,5,5,5
10715,5,5,5,6,6
10848,4,4,4,4,4
10971,5,5,5,5,5
10436,3,3,3,3,3
10097,3,3,3,3,3
10589,5,5,5,5,5
10204,4,4,4,4,4
10244,5,5,5,5,5
10620,4,4,4,4,4
10934,6,6,6,6,4
10519,3,3,5,3,3
10334,5,5,5,5,5
10845,3,3,3,3,3
10025,4,4,4,4,4
10084,4,4,4,4,4
10010,4,4,4,4,4
10635,5,5,5,5,5
10422,5,5,5,5,5
10795,4,4,4,4,4
10357,5,5,5,5,5
10802,5,5,5,4,4
10529,3,3,3,3,3
10468,5,5,5,5,5
10247,3,3,3,3,3
10118,5,5,5,5,5
10342,4,4,6,6,4
10541,4,4,4,4,4
10250,4,4,4,4,4
10318,4,4,4,4,4
10843,5,5,5,5,5
10196,4,4,4,4,4
10588,3,3,3,3,3
10081,5,5,5,5,5
10352,5,5,5,5,5
10583,3,3,1,3,3
10603,3,3,3,3,3
10239,5,5,5,5,5
10761,5,5,5,5,5
10211,5,5,3,5,5
10930,3,3,3,3,3
10963,4,4,4,4,4
10420,3,3,5,3,5
10227,4,4,4,4,4
10833,3,3,4,4,5
10752,5,5,5,5,5
10907,4,4,4,4,4
10743,3,3,3,3,3
10380,4,4,4,4,4
10478,4,4,4,4,4
10439,4,4,4,4,4
10296,4,4,4,4,4
10344,5,5,5,5,5
10007,5,5,5,5,5
10155,4,4,4,3,4
10526,5,5,4,4,4
10411,3,3,3,3,3
10513,4,4,4,4,4
10837,5,5,4,5,5
10758,4,4,4,6,4
10551,5,5,5,5,5
10433,4,4,4,6,4
10893,5,5,5,5,5
10909,3,3,3,3,3
10889,3,3,3,3,3
10613,4,4,4,4,4
