id,best,cand1,cand2,cand3,cand4
10199,4,4,4,4,4
10539,4,4,4,4,4
10174,5,5,5,5,5
10465,4,4,4,4,4
10066,5,5,5,5,5
10425,4,4,4,4,4
10398,5,5,5,5,5
10346,4,6,6,5,4
10281,4,4,4,4,4
10158,3,4,4,4,3
10877,3,3,3,3,3
10067,5,5,5,5,5
10235,4,4,4,4,4
10767,5,5,5,5,5
10483,4,4,4,4,4
10679,3,4,4,3,3
10076,4,4,4,4,4
10800,4,4,4,4,4
10855,5,5,5,5,5
10706,5,5,5,4,5
10088,5,5,5,5,5
10096,5,5,5,5,5
10643,4,4,4,4,4
10305,5,5,5,5,5
10275,3,3,3,3,3
10759,5,5,5,5,5
10355,4,4,4,4,4
10844,4,4,4,4,4
10693,3,5,5,5,5
10882,4,4,4,4,4
10023,4,4,4,4,4
10030,4,4,4,4,4
10677,4,4,4,4,4
10923,4,4,6,4,4
10405,5,5,5,5,5
10531,4,4,4,4,4
10959,3,3,3,3,3
10294,4,4,4,4,4
10829,5,5,5,5,5
10850,5,5,5,5,5
10259,5,5,5,5,5
10874,4,4,4,6,4
10328,5,5,5,5,5
10333,5,5,5,5,6
10634,5,5,5,5,5
10774,4,4,4,4,4
10754,5,5,5,5,5
10120,3,4,4,3,3
10790,4,4,4,4,4
10323,5,5,5,5,5
10728,3,3,3,5,3
10842,5,5,5,5,5
10039,4,4,4,4,4
10789,4,4,4,4,4
10952,4,4,4,4,4
10310,4,4,6,4,4
10314,4,4,4,4,4
10059,3,3,3,3,3
10972,3,5,5,5,5
10494,3,5,4,4,4
10464,5,5,5,5,5
10722,4,4,4,4,4
10673,5,5,5,5,5
10692,5,5,5,5,5
10479,4,4,4,4,4
10680,5,5,5,5,5
10793,4,4,4,4,4
10070,5,5,5,5,5
10136,4,4,4,4,4
10307,5,5,5,5,5
10849,3,3,3,3,3
10714,4,4,4,4,4
10633,5,5,5,5,5
10580,5,5,5,5,5
10481,6,6,6,4,4
10063,5,4,4,5,4
10822,4,4,4,4,4
10359,5,5,5,5,5
10585,3,3,3,3,3
10801,5,5,5,5,5
10299,4,4,4,4,4
10350,4,4,4,4,4
10362,5,5,5,5,5
10237,4,4,4,4,4
10351,3,3,3,3,3
10695,4,4,4,4,4
10672,4,4,4,4,4
10298,4,4,4,4,4
10086,5,5,5,5,5
10913,4,4,4,4,4
10432,5,5,5,5,5
10290,4,4,4,4,4
10107,5,5,5,5,5
10969,3,3,3,3,3
10254,5,5,5,5,5
10215,5,5,5,5,5
10544,5,5,5,4,5
10319,4,4,4,4,4
10525,5,5,5,5,5
10630,5,5,5,5,5
10953,5,5,5,5,5
10749,4,4,4,4,4
10534,5,5,5,5,5
10827,3,3,3,5,3
10798,3,4,4,3,4
10514,4,4,4,4,4
10055,5,5,5,5,5
10497,5,5,5,5,5
10218,4,4,4,4,4
10486,5,5,5,5,5
10072,5,5,5,5,5
10527,4,4,4,4,4
10044,5,5,5,5,5
10261,6,6,6,6,6
10209,3,3,3,3,3
10678,4,4,4,4,4
10493,4,4,4,4,4
10442,4,4,4,4,4
10277,4,6,4,4,4
10423,5,5,5,5,5
10231,5,5,5,5,5
10718,5,5,5,5,5
10947,5,5,5,5,5
10757,4,4,4,4,4
10660,5,5,5,5,5
10655,5,5,5,5,5
10309,4,4,4,4,4
10453,4,4,4,4,4
10703,4,4,4,4,4
10636,4,4,4,4,4
10916,4,4,4,4,4
10213,4,4,4,4,4
10482,5,5,5,5,5
10060,4,4,4,4,4
10687,4,4,4,4,4
10713,4,4,4,4,4
10429,4,4,4,4,4
10139,4,4,4,4,4
10781,5,5,5,5,5
10605,3,3,3,4,4
10280,4,4,4,4,4
10311,4,4,4,6,6
10615,4,4,4,4,4
10450,3,3,3,5,3
10110,4,4,4,4,4
10622,3,3,4,3,3
10456,4,4,4,4,4
10316,5,5,5,5,5
10891,4,4,4,4,4
10868,5,5,5,5,5
10198,4,4,4,4,4
10377,4,4,4,4,4
10638,4,4,4,4,4
10617,5,5,5,5,5
10559,4,4,4,4,4
10669,5,5,5,5,5
10137,4,4,4,4,4
10332,4,4,4,4,4
10394,4,4,4,4,4
10184,5,5,5,5,5
10881,4,4,4,4,4
10449,4,4,4,4,4
10788,3,3,3,3,3
10168,5,5,5,5,5
10951,4,4,4,4,4
10382,4,4,4,4,4
10696,4,4,4,4,4
10078,5,5,5,5,5
10029,4,4,4,4,4
10260,5,5,5,5,5
10331,5,5,5,5,5
10859,5,5,5,5,5
10626,5,5,5,5,5
10165,3,4,4,4,5
10731,3,3,3,4,4
10898,5,5,5,5,5
10065,5,5,5,5,5
10141,3,3,3,3,3
10210,5,5,5,5,5
10746,4,4,4,4,4
10292,3,3,4,3,3
10847,3,3,3,3,3
10266,5,5,5,5,5
