id,Analytical thinking
10199,4
10539,4
10174,5
10465,4
10066,5
10425,4
10398,5
10346,4
10281,4
10158,4
10877,3
10067,5
10235,4
10767,5
10483,4
10679,4
10076,4
10800,4
10855,5
10706,5
10088,5
10096,5
10643,4
10305,5
10275,3
10759,5
10355,4
10844,4
10693,4
10882,4
10023,4
10030,4
10677,4
10923,4
10405,5
10531,4
10959,3
10294,4
10829,5
10850,5
10259,5
10874,4
10328,5
10333,5
10634,5
10774,4
10754,5
10120,4
10790,4
10323,5
10728,4
10842,5
10039,4
10789,4
10952,4
10310,4
10314,4
10059,3
10972,4
10494,4
10464,5
10722,4
10673,5
10692,5
10479,4
10680,5
10793,4
10070,5
10136,4
10307,5
10849,3
10714,4
10633,5
10580,5
10481,6
10063,5
10822,4
10359,5
10585,3
10801,5
10299,4
10350,4
10362,5
10237,4
10351,3
10695,4
10672,4
10298,4
10086,5
10913,4
10432,5
10290,4
10107,5
10969,3
10254,5
10215,5
10544,5
10319,4
10525,5
10630,5
10953,5
10749,4
10534,5
10827,4
10798,4
10514,4
10055,5
10497,5
10218,4
10486,5
10072,5
10527,4
10044,5
10261,6
10209,3
10678,4
10493,4
10442,4
10277,4
10423,5
10231,5
10718,5
10947,5
10757,4
10660,5
10655,5
10309,4
10453,4
10703,4
10636,4
10916,4
10213,4
10482,5
10060,4
10687,4
10713,4
10429,4
10139,4
10781,5
10605,4
10280,4
10311,4
10615,4
10450,4
10110,4
10622,4
10456,4
10316,5
10891,4
10868,5
10198,4
10377,4
10638,4
10617,5
10559,4
10669,5
10137,4
10332,4
10394,4
10184,5
10881,4
10449,4
10788,3
10168,5
10951,4
10382,4
10696,4
10078,5
10029,4
10260,5
10331,5
10859,5
10626,5
10165,4
10731,4
10898,5
10065,5
10141,3
10210,5
10746,4
10292,4
10847,3
10266,5
10371,4
10810,5
10581,5
10900,5
10049,4
10708,5
10904,5
10490,4
10327,5
10879,5
10521,4
10925,4
10968,4
10365,4
10936,4
10033,4
10031,4
10823,3
10192,5
10312,4
10807,4
10552,5
10558,3
10921,4
10109,5
10440,4
10077,5
10783,4
10542,4
10082,5
10361,4
10485,4
10507,5
10628,5
10500,5
10905,4
10002,4
10101,5
10363,6
10451,3
10286,4
10208,5
10265,4
10005,5
10054,5
10715,5
10848,3
10971,5
10436,4
10097,4
10589,5
10204,4
10244,5
10620,5
10934,5
10519,4
10334,3
10845,4
10025,5
10084,4
10010,4
10635,4
10422,5
10795,5
10357,5
10802,5
10529,3
10468,4
10247,3
10118,5
10342,5
10541,4
10250,3
10318,4
10843,4
10196,4
10588,4
10081,5
10352,3
10583,5
10603,4
10239,4
10761,4
10211,4
10930,4
10963,4
10420,4
10227,3
10833,4
10752,4
10907,5
10743,4
10380,4
10478,4
10439,4
10296,4
10344,5
10007,5
10155,5
10526,5
10411,4
10513,4
10837,4
10758,4
10551,5
10433,4
10893,5
10909,3
10889,3
10613,4
