id,Adaptability
10199,4
10539,5
10174,4
10465,5
10066,4
10425,5
10398,5
10346,5
10281,4
10158,4
10877,4
10067,5
10235,4
10767,5
10483,4
10679,5
10076,5
10800,3
10855,5
10706,5
10088,5
10096,5
10643,4
10305,4
10275,4
10759,5
10355,5
10844,4
10693,3
10882,5
10023,4
10030,5
10677,3
10923,4
10405,5
10531,4
10959,3
10294,4
10829,5
10850,5
10259,5
10874,4
10328,4
10333,4
10634,6
10774,4
10754,5
10120,4
10790,4
10323,5
10728,4
10842,5
10039,3
10789,4
10952,4
10310,4
10314,4
10059,4
10972,3
10494,4
10464,5
10722,5
10673,5
10692,4
10479,3
10680,5
10793,4
10070,5
10136,4
10307,5
10849,3
10714,5
10633,4
10580,4
10481,5
10063,5
10822,3
10359,5
10585,5
10801,5
10299,5
10350,4
10362,5
10237,3
10351,3
10695,3
10672,4
10298,4
10086,5
10913,3
10432,5
10290,4
10107,5
10969,3
10254,5
10215,4
10544,4
10319,3
10525,5
10630,5
10953,5
10749,4
10534,5
10827,4
10798,4
10514,4
10055,5
10497,5
10218,5
10486,5
10072,5
10527,5
10044,5
10261,5
10209,4
10678,5
10493,4
10442,5
10277,4
10423,5
10231,5
10718,5
10947,5
10757,4
10660,4
10655,5
10309,5
10453,5
10703,4
10636,4
10916,5
10213,4
10482,1
10060,4
10687,4
10713,3
10429,5
10139,4
10781,4
10605,3
10280,4
10311,4
10615,4
10450,4
10110,5
10622,3
10456,4
10316,5
10891,5
10868,4
10198,5
10377,3
10638,4
10617,4
10559,3
10669,5
10137,4
10332,5
10394,5
10184,5
10881,3
10449,5
10788,3
10168,5
10951,3
10382,4
10696,5
10078,5
10029,3
10260,5
10331,5
10859,5
10626,4
10165,5
10731,3
10898,5
10065,5
10141,4
10210,5
10746,4
10292,4
10847,4
10266,5
10371,5
10810,5
10581,5
10900,5
10049,3
10708,5
10904,4
10490,3
10327,5
10879,5
10521,4
10925,3
10968,4
10365,4
10936,5
10033,4
10031,4
10823,3
10192,5
10312,5
10807,3
10552,5
10558,5
10921,4
10109,4
10440,4
10077,5
10783,3
10542,4
10082,5
10361,4
10485,4
10507,5
10628,4
10500,5
10905,4
10002,5
10101,5
10363,5
10451,3
10286,3
10208,3
10265,5
10005,5
10054,5
10715,5
10848,4
10971,5
10436,3
10097,3
10589,5
10204,4
10244,5
10620,4
10934,6
10519,3
10334,5
10845,3
10025,4
10084,4
10010,4
10635,5
10422,5
10795,4
10357,5
10802,5
10529,3
10468,5
10247,3
10118,5
10342,4
10541,4
10250,4
10318,4
10843,5
10196,4
10588,3
10081,5
10352,5
10583,3
10603,3
10239,5
10761,5
10211,5
10930,3
10963,4
10420,3
10227,4
10833,3
10752,5
10907,4
10743,3
10380,4
10478,4
10439,4
10296,4
10344,5
10007,5
10155,4
10526,5
10411,3
10513,4
10837,5
10758,4
10551,5
10433,4
10893,5
10909,3
10889,3
10613,4
